run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,depth,candidate,temperature_at_event,current_penalty,local_best,global_best,cands_since_improve,worker_lifetime_pct,candidate_pct,time_since_previous_improvement,time_until_worker_exit
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,0,-1,0,172965,0.000000,2565,1520,1435,100000,34.59,34.59,353,1157
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,0,-1,0,302954,0.000000,2865,1410,1400,100000,60.59,60.59,353,697
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,0,-1,0,402954,0.000000,3135,1410,1400,100000,80.59,80.59,353,343
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,2,0,0,143837,0.000000,2795,1450,1400,100000,28.77,28.77,353,1260
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,2,0,0,243837,0.000000,2550,1450,1400,100000,48.77,48.77,353,906
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,2,0,0,343837,0.000000,2075,1450,1400,100000,68.77,68.77,353,552
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,3,1,0,100001,0.000000,2710,1435,1400,100000,20.00,20.00,353,1415
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,3,1,0,200001,0.000000,2320,1435,1400,100000,40.00,40.00,353,1061
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,3,1,0,312591,0.000000,2545,1415,1400,100000,62.52,62.52,353,663
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,3,1,0,412591,0.000000,2905,1415,1270,100000,82.52,82.52,353,309
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,4,2,0,100002,0.000000,2705,1400,1400,100000,20.00,20.00,353,1415
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,4,2,0,200002,0.000000,2545,1400,1400,100000,40.00,40.00,353,1061
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,4,2,0,300002,0.000000,2640,1400,1400,100000,60.00,60.00,353,707
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,4,2,0,400002,0.000000,2590,1400,1270,100000,80.00,80.00,353,353
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,5,3,0,100001,0.000000,2920,1360,1270,100000,20.00,20.00,353,1415
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,5,3,0,200001,0.000000,2475,1360,1270,100000,40.00,40.00,353,1061
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,5,3,0,300001,0.000000,2685,1360,1270,100000,60.00,60.00,353,707
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,1,5,3,0,400001,0.000000,2620,1360,1270,100000,80.00,80.00,353,353
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,2,0,-1,0,229824,0.000000,2245,1230,1180,100000,45.96,45.96,353,955
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,2,0,-1,0,369821,0.000000,2420,1205,1180,100000,73.96,73.96,353,460
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:05:04+01:00,2,0,-1,0,473722,0.000000,2465,1075,1075,100000,94.74,94.74,353,92
