run_id,instance,seed,beam_width,iterations,temperature,cooling_mode,timestamp,week,worker_id,parent_worker_id,child_worker_id,depth,branch_reason,candidate,temperature_at_event,old_penalty,new_penalty,improvement,elapsed_ms
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1002,0,global_best_update,1,99.997237,3800,3740,60,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1004,0,global_best_update,1,99.997237,3740,3680,60,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1003,0,global_best_update,3,99.991711,3680,3585,95,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1006,0,global_best_update,2,99.994474,3585,3530,55,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1006,0,global_best_update,5,99.986185,3530,3455,75,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1007,0,global_best_update,6,99.983423,3455,3425,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1009,0,global_best_update,5,99.986185,3425,3380,45,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1010,0,global_best_update,6,99.983423,3380,3160,220,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1011,0,global_best_update,7,99.980660,3160,3130,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1011,0,global_best_update,13,99.964086,3130,2990,140,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1012,0,global_best_update,19,99.947515,2990,2840,150,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1013,0,global_best_update,20,99.944753,2840,2810,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1015,0,global_best_update,15,99.958562,2810,2785,25,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1016,0,global_best_update,17,99.953038,2785,2635,150,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1016,0,global_best_update,24,99.933708,2635,2510,125,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1017,0,global_best_update,28,99.922663,2510,2470,40,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1018,0,global_best_update,30,99.917141,2470,2415,55,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1019,0,global_best_update,32,99.911620,2415,2400,15,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1021,0,global_best_update,45,99.875738,2400,2310,90,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1021,0,global_best_update,34,99.906099,2310,2235,75,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1022,0,global_best_update,37,99.897817,2235,2220,15,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1023,0,global_best_update,38,99.895057,2220,2070,150,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1025,0,global_best_update,57,99.842627,2070,2025,45,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,3,-1,1026,0,global_best_update,59,99.837110,2025,1905,120,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1026,0,global_best_update,56,99.845386,1905,1815,90,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,2,-1,1027,0,global_best_update,60,99.834351,1815,1800,15,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1027,0,global_best_update,79,99.781953,1800,1685,115,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1028,0,global_best_update,84,99.768169,1685,1655,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1029,0,global_best_update,87,99.759899,1655,1610,45,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1030,0,global_best_update,89,99.754386,1610,1530,80,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1031,0,global_best_update,91,99.748874,1530,1500,30,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1032,0,global_best_update,97,99.732338,1500,1340,160,1
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1033,0,global_best_update,648,98.225444,1340,1315,25,2
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1034,0,global_best_update,3944,89.675127,1315,1300,15,8
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1035,0,global_best_update,3952,89.655307,1300,1280,20,8
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1036,0,global_best_update,4099,89.291887,1280,1235,45,8
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1037,0,global_best_update,5062,86.947280,1235,1220,15,10
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1038,0,global_best_update,5064,86.942475,1220,1165,55,10
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1039,0,global_best_update,5069,86.930464,1165,1075,90,10
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1040,0,global_best_update,5081,86.901646,1075,1070,5,10
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1041,0,global_best_update,5083,86.896843,1070,1040,30,10
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1042,0,global_best_update,5093,86.872836,1040,965,75,10
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1043,0,global_best_update,5094,86.870436,965,950,15,10
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1044,0,global_best_update,21893,54.611487,950,925,25,40
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1045,0,global_best_update,21895,54.608469,925,885,40,40
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1046,0,global_best_update,26098,48.621013,885,860,25,47
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1047,0,global_best_update,26099,48.619669,860,815,45,47
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1048,0,global_best_update,26114,48.599522,815,800,15,47
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1053,1,global_best_update,24,99.933708,800,785,15,47
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1054,1,global_best_update,218,99.399454,785,770,15,47
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1055,1,global_best_update,433,98.810705,770,765,5,47
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1056,1,global_best_update,478,98.687921,765,750,15,48
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1057,1,global_best_update,518,98.578907,750,730,20,48
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1058,1,global_best_update,520,98.573460,730,700,30,48
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1059,1,global_best_update,2040,94.519192,700,635,65,51
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1060,1,global_best_update,8073,80.006266,635,620,15,59
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1061,1,global_best_update,18576,59.853286,620,590,30,76
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1062,1,global_best_update,24392,50.967813,590,580,10,85
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1063,1,global_best_update,24644,50.614156,580,565,15,85
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,5,3,1064,1,global_best_update,24647,50.609961,565,535,30,85
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1061,0,global_best_update,49397,25.540888,535,530,5,86
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1062,0,global_best_update,49411,25.531010,530,500,30,86
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1063,0,global_best_update,49432,25.516200,500,485,15,86
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,1,-1,1064,0,global_best_update,59647,19.241370,485,470,15,106
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,8,6,1072,3,global_best_update,125,99.655208,470,455,15,108
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,8,6,1073,3,global_best_update,594,98.372113,455,440,15,108
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,1,8,6,1074,3,global_best_update,943,97.428048,440,430,10,109
n012w8-0,n012w8,0,5,500000,100.0,adaptive,2026-07-04T12:28:33+01:00,2,3,-1,1003,0,global_best_update,2,99.994474,3770,3470,300,1
